sub_id,trial_type,median_ADS,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,4.0,BELOW,alcohol,433.0,24.0,7.0,0.291666666667
1.0,4.0,BELOW,cigarette,433.0,24.0,8.0,0.333333333333
1.0,4.0,BELOW,neutral,433.0,24.0,9.0,0.375
2.0,4.0,BELOW,alcohol,433.0,120.0,81.0,0.675
2.0,4.0,BELOW,cigarette,433.0,120.0,31.0,0.258333333333
2.0,4.0,BELOW,neutral,433.0,120.0,8.0,0.0666666666667
3.0,4.0,BELOW,alcohol,433.0,139.0,85.0,0.611510791367
3.0,4.0,BELOW,cigarette,433.0,139.0,34.0,0.244604316547
3.0,4.0,BELOW,neutral,433.0,139.0,20.0,0.143884892086
4.0,4.0,BELOW,alcohol,433.0,61.0,57.0,0.934426229508
4.0,4.0,BELOW,cigarette,433.0,61.0,4.0,0.0655737704918
4.0,4.0,BELOW,neutral,433.0,61.0,0.0,0.0
5.0,4.0,BELOW,alcohol,433.0,103.0,53.0,0.514563106796
5.0,4.0,BELOW,cigarette,433.0,103.0,33.0,0.320388349515
5.0,4.0,BELOW,neutral,433.0,103.0,17.0,0.165048543689
6.0,4.0,BELOW,alcohol,433.0,130.0,28.0,0.215384615385
6.0,4.0,BELOW,cigarette,433.0,130.0,92.0,0.707692307692
6.0,4.0,BELOW,neutral,433.0,130.0,10.0,0.0769230769231
7.0,4.0,BELOW,alcohol,433.0,76.0,0.0,0.0
7.0,4.0,BELOW,cigarette,433.0,76.0,74.0,0.973684210526
7.0,4.0,BELOW,neutral,433.0,76.0,2.0,0.0263157894737
8.0,4.0,BELOW,alcohol,433.0,104.0,31.0,0.298076923077
8.0,4.0,BELOW,cigarette,433.0,104.0,42.0,0.403846153846
8.0,4.0,BELOW,neutral,433.0,104.0,31.0,0.298076923077
9.0,4.0,BELOW,alcohol,433.0,83.0,41.0,0.493975903614
9.0,4.0,BELOW,cigarette,433.0,83.0,27.0,0.325301204819
9.0,4.0,BELOW,neutral,433.0,83.0,15.0,0.180722891566
10.0,4.0,BELOW,alcohol,433.0,99.0,29.0,0.292929292929
10.0,4.0,BELOW,cigarette,433.0,99.0,57.0,0.575757575758
10.0,4.0,BELOW,neutral,433.0,99.0,13.0,0.131313131313
11.0,4.0,BELOW,alcohol,433.0,146.0,39.0,0.267123287671
11.0,4.0,BELOW,cigarette,433.0,146.0,67.0,0.458904109589
11.0,4.0,BELOW,neutral,433.0,146.0,40.0,0.27397260274
12.0,4.0,BELOW,alcohol,433.0,32.0,14.0,0.4375
12.0,4.0,BELOW,cigarette,433.0,32.0,10.0,0.3125
12.0,4.0,BELOW,neutral,433.0,32.0,8.0,0.25
13.0,4.0,BELOW,alcohol,433.0,132.0,31.0,0.234848484848
13.0,4.0,BELOW,cigarette,433.0,132.0,33.0,0.25
13.0,4.0,BELOW,neutral,433.0,132.0,68.0,0.515151515152
14.0,4.0,BELOW,alcohol,433.0,136.0,54.0,0.397058823529
14.0,4.0,BELOW,cigarette,433.0,136.0,59.0,0.433823529412
14.0,4.0,BELOW,neutral,433.0,136.0,23.0,0.169117647059
15.0,4.0,BELOW,alcohol,433.0,42.0,11.0,0.261904761905
15.0,4.0,BELOW,cigarette,433.0,42.0,22.0,0.52380952381
15.0,4.0,BELOW,neutral,433.0,42.0,9.0,0.214285714286
16.0,4.0,BELOW,alcohol,433.0,45.0,17.0,0.377777777778
16.0,4.0,BELOW,cigarette,433.0,45.0,23.0,0.511111111111
16.0,4.0,BELOW,neutral,433.0,45.0,5.0,0.111111111111
17.0,4.0,BELOW,alcohol,433.0,71.0,13.0,0.183098591549
17.0,4.0,BELOW,cigarette,433.0,71.0,41.0,0.577464788732
17.0,4.0,BELOW,neutral,433.0,71.0,17.0,0.239436619718
18.0,4.0,BELOW,alcohol,433.0,62.0,27.0,0.435483870968
18.0,4.0,BELOW,cigarette,433.0,62.0,19.0,0.306451612903
18.0,4.0,BELOW,neutral,433.0,62.0,16.0,0.258064516129
19.0,4.0,BELOW,alcohol,433.0,125.0,43.0,0.344
19.0,4.0,BELOW,cigarette,433.0,125.0,42.0,0.336
19.0,4.0,BELOW,neutral,433.0,125.0,40.0,0.32
20.0,4.0,BELOW,alcohol,433.0,101.0,34.0,0.336633663366
20.0,4.0,BELOW,cigarette,433.0,101.0,45.0,0.445544554455
20.0,4.0,BELOW,neutral,433.0,101.0,22.0,0.217821782178
21.0,4.0,BELOW,alcohol,433.0,53.0,18.0,0.339622641509
21.0,4.0,BELOW,cigarette,433.0,53.0,21.0,0.396226415094
21.0,4.0,BELOW,neutral,433.0,53.0,14.0,0.264150943396
22.0,4.0,BELOW,alcohol,433.0,91.0,39.0,0.428571428571
22.0,4.0,BELOW,cigarette,433.0,91.0,45.0,0.494505494505
22.0,4.0,BELOW,neutral,433.0,91.0,7.0,0.0769230769231
23.0,4.0,BELOW,alcohol,433.0,79.0,32.0,0.405063291139
23.0,4.0,BELOW,cigarette,433.0,79.0,28.0,0.354430379747
23.0,4.0,BELOW,neutral,433.0,79.0,19.0,0.240506329114
24.0,4.0,BELOW,alcohol,433.0,87.0,35.0,0.402298850575
24.0,4.0,BELOW,cigarette,433.0,87.0,29.0,0.333333333333
24.0,4.0,BELOW,neutral,433.0,87.0,23.0,0.264367816092
25.0,4.0,BELOW,alcohol,433.0,120.0,62.0,0.516666666667
25.0,4.0,BELOW,cigarette,433.0,120.0,38.0,0.316666666667
25.0,4.0,BELOW,neutral,433.0,120.0,20.0,0.166666666667
26.0,4.0,BELOW,alcohol,433.0,100.0,7.0,0.07
26.0,4.0,BELOW,cigarette,433.0,100.0,15.0,0.15
26.0,4.0,BELOW,neutral,433.0,100.0,78.0,0.78
27.0,4.0,BELOW,alcohol,433.0,129.0,36.0,0.279069767442
27.0,4.0,BELOW,cigarette,433.0,129.0,47.0,0.364341085271
27.0,4.0,BELOW,neutral,433.0,129.0,46.0,0.356589147287
28.0,4.0,BELOW,alcohol,433.0,117.0,41.0,0.350427350427
28.0,4.0,BELOW,cigarette,433.0,117.0,61.0,0.521367521368
28.0,4.0,BELOW,neutral,433.0,117.0,15.0,0.128205128205
29.0,4.0,BELOW,alcohol,433.0,128.0,41.0,0.3203125
29.0,4.0,BELOW,cigarette,433.0,128.0,50.0,0.390625
29.0,4.0,BELOW,neutral,433.0,128.0,37.0,0.2890625
1.0,4.0,ABOVE,alcohol,433.0,1.0,0.0,0.0
1.0,4.0,ABOVE,cigarette,433.0,1.0,1.0,1.0
1.0,4.0,ABOVE,neutral,433.0,1.0,0.0,0.0
2.0,4.0,ABOVE,alcohol,433.0,8.0,4.0,0.5
2.0,4.0,ABOVE,cigarette,433.0,8.0,4.0,0.5
2.0,4.0,ABOVE,neutral,433.0,8.0,0.0,0.0
3.0,4.0,ABOVE,alcohol,433.0,0.0,0.0,
3.0,4.0,ABOVE,cigarette,433.0,0.0,0.0,
3.0,4.0,ABOVE,neutral,433.0,0.0,0.0,
4.0,4.0,ABOVE,alcohol,433.0,0.0,0.0,
4.0,4.0,ABOVE,cigarette,433.0,0.0,0.0,
4.0,4.0,ABOVE,neutral,433.0,0.0,0.0,
5.0,4.0,ABOVE,alcohol,433.0,5.0,3.0,0.6
5.0,4.0,ABOVE,cigarette,433.0,5.0,2.0,0.4
5.0,4.0,ABOVE,neutral,433.0,5.0,0.0,0.0
6.0,4.0,ABOVE,alcohol,433.0,0.0,0.0,
6.0,4.0,ABOVE,cigarette,433.0,0.0,0.0,
6.0,4.0,ABOVE,neutral,433.0,0.0,0.0,
7.0,4.0,ABOVE,alcohol,433.0,8.0,0.0,0.0
7.0,4.0,ABOVE,cigarette,433.0,8.0,8.0,1.0
7.0,4.0,ABOVE,neutral,433.0,8.0,0.0,0.0
8.0,4.0,ABOVE,alcohol,433.0,5.0,4.0,0.8
8.0,4.0,ABOVE,cigarette,433.0,5.0,0.0,0.0
8.0,4.0,ABOVE,neutral,433.0,5.0,1.0,0.2
9.0,4.0,ABOVE,alcohol,433.0,10.0,6.0,0.6
9.0,4.0,ABOVE,cigarette,433.0,10.0,3.0,0.3
9.0,4.0,ABOVE,neutral,433.0,10.0,1.0,0.1
10.0,4.0,ABOVE,alcohol,433.0,13.0,2.0,0.153846153846
10.0,4.0,ABOVE,cigarette,433.0,13.0,9.0,0.692307692308
10.0,4.0,ABOVE,neutral,433.0,13.0,2.0,0.153846153846
11.0,4.0,ABOVE,alcohol,433.0,0.0,0.0,
11.0,4.0,ABOVE,cigarette,433.0,0.0,0.0,
11.0,4.0,ABOVE,neutral,433.0,0.0,0.0,
12.0,4.0,ABOVE,alcohol,433.0,0.0,0.0,
12.0,4.0,ABOVE,cigarette,433.0,0.0,0.0,
12.0,4.0,ABOVE,neutral,433.0,0.0,0.0,
13.0,4.0,ABOVE,alcohol,433.0,0.0,0.0,
13.0,4.0,ABOVE,cigarette,433.0,0.0,0.0,
13.0,4.0,ABOVE,neutral,433.0,0.0,0.0,
14.0,4.0,ABOVE,alcohol,433.0,0.0,0.0,
14.0,4.0,ABOVE,cigarette,433.0,0.0,0.0,
14.0,4.0,ABOVE,neutral,433.0,0.0,0.0,
15.0,4.0,ABOVE,alcohol,433.0,0.0,0.0,
15.0,4.0,ABOVE,cigarette,433.0,0.0,0.0,
15.0,4.0,ABOVE,neutral,433.0,0.0,0.0,
16.0,4.0,ABOVE,alcohol,433.0,0.0,0.0,
16.0,4.0,ABOVE,cigarette,433.0,0.0,0.0,
16.0,4.0,ABOVE,neutral,433.0,0.0,0.0,
17.0,4.0,ABOVE,alcohol,433.0,0.0,0.0,
17.0,4.0,ABOVE,cigarette,433.0,0.0,0.0,
17.0,4.0,ABOVE,neutral,433.0,0.0,0.0,
18.0,4.0,ABOVE,alcohol,433.0,6.0,2.0,0.333333333333
18.0,4.0,ABOVE,cigarette,433.0,6.0,2.0,0.333333333333
18.0,4.0,ABOVE,neutral,433.0,6.0,2.0,0.333333333333
19.0,4.0,ABOVE,alcohol,433.0,0.0,0.0,
19.0,4.0,ABOVE,cigarette,433.0,0.0,0.0,
19.0,4.0,ABOVE,neutral,433.0,0.0,0.0,
20.0,4.0,ABOVE,alcohol,433.0,13.0,6.0,0.461538461538
20.0,4.0,ABOVE,cigarette,433.0,13.0,2.0,0.153846153846
20.0,4.0,ABOVE,neutral,433.0,13.0,5.0,0.384615384615
21.0,4.0,ABOVE,alcohol,433.0,2.0,1.0,0.5
21.0,4.0,ABOVE,cigarette,433.0,2.0,1.0,0.5
21.0,4.0,ABOVE,neutral,433.0,2.0,0.0,0.0
22.0,4.0,ABOVE,alcohol,433.0,11.0,1.0,0.0909090909091
22.0,4.0,ABOVE,cigarette,433.0,11.0,10.0,0.909090909091
22.0,4.0,ABOVE,neutral,433.0,11.0,0.0,0.0
23.0,4.0,ABOVE,alcohol,433.0,0.0,0.0,
23.0,4.0,ABOVE,cigarette,433.0,0.0,0.0,
23.0,4.0,ABOVE,neutral,433.0,0.0,0.0,
24.0,4.0,ABOVE,alcohol,433.0,0.0,0.0,
24.0,4.0,ABOVE,cigarette,433.0,0.0,0.0,
24.0,4.0,ABOVE,neutral,433.0,0.0,0.0,
25.0,4.0,ABOVE,alcohol,433.0,16.0,7.0,0.4375
25.0,4.0,ABOVE,cigarette,433.0,16.0,7.0,0.4375
25.0,4.0,ABOVE,neutral,433.0,16.0,2.0,0.125
26.0,4.0,ABOVE,alcohol,433.0,0.0,0.0,
26.0,4.0,ABOVE,cigarette,433.0,0.0,0.0,
26.0,4.0,ABOVE,neutral,433.0,0.0,0.0,
27.0,4.0,ABOVE,alcohol,433.0,0.0,0.0,
27.0,4.0,ABOVE,cigarette,433.0,0.0,0.0,
27.0,4.0,ABOVE,neutral,433.0,0.0,0.0,
28.0,4.0,ABOVE,alcohol,433.0,16.0,6.0,0.375
28.0,4.0,ABOVE,cigarette,433.0,16.0,8.0,0.5
28.0,4.0,ABOVE,neutral,433.0,16.0,2.0,0.125
29.0,4.0,ABOVE,alcohol,433.0,14.0,7.0,0.5
29.0,4.0,ABOVE,cigarette,433.0,14.0,4.0,0.285714285714
29.0,4.0,ABOVE,neutral,433.0,14.0,3.0,0.214285714286
