sub_id,trial_type,median_FTND,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,1.0,BELOW,alcohol,1533.0,3.0,2.0,0.666666666667
1.0,1.0,BELOW,cigarette,1533.0,3.0,1.0,0.333333333333
1.0,1.0,BELOW,neutral,1533.0,3.0,0.0,0.0
2.0,1.0,BELOW,alcohol,1533.0,0.0,0.0,
2.0,1.0,BELOW,cigarette,1533.0,0.0,0.0,
2.0,1.0,BELOW,neutral,1533.0,0.0,0.0,
3.0,1.0,BELOW,alcohol,1533.0,4.0,1.0,0.25
3.0,1.0,BELOW,cigarette,1533.0,4.0,2.0,0.5
3.0,1.0,BELOW,neutral,1533.0,4.0,1.0,0.25
4.0,1.0,BELOW,alcohol,1533.0,0.0,0.0,
4.0,1.0,BELOW,cigarette,1533.0,0.0,0.0,
4.0,1.0,BELOW,neutral,1533.0,0.0,0.0,
5.0,1.0,BELOW,alcohol,1533.0,5.0,3.0,0.6
5.0,1.0,BELOW,cigarette,1533.0,5.0,1.0,0.2
5.0,1.0,BELOW,neutral,1533.0,5.0,1.0,0.2
6.0,1.0,BELOW,alcohol,1533.0,0.0,0.0,
6.0,1.0,BELOW,cigarette,1533.0,0.0,0.0,
6.0,1.0,BELOW,neutral,1533.0,0.0,0.0,
7.0,1.0,BELOW,alcohol,1533.0,0.0,0.0,
7.0,1.0,BELOW,cigarette,1533.0,0.0,0.0,
7.0,1.0,BELOW,neutral,1533.0,0.0,0.0,
8.0,1.0,BELOW,alcohol,1533.0,0.0,0.0,
8.0,1.0,BELOW,cigarette,1533.0,0.0,0.0,
8.0,1.0,BELOW,neutral,1533.0,0.0,0.0,
9.0,1.0,BELOW,alcohol,1533.0,1.0,0.0,0.0
9.0,1.0,BELOW,cigarette,1533.0,1.0,1.0,1.0
9.0,1.0,BELOW,neutral,1533.0,1.0,0.0,0.0
10.0,1.0,BELOW,alcohol,1533.0,0.0,0.0,
10.0,1.0,BELOW,cigarette,1533.0,0.0,0.0,
10.0,1.0,BELOW,neutral,1533.0,0.0,0.0,
11.0,1.0,BELOW,alcohol,1533.0,0.0,0.0,
11.0,1.0,BELOW,cigarette,1533.0,0.0,0.0,
11.0,1.0,BELOW,neutral,1533.0,0.0,0.0,
12.0,1.0,BELOW,alcohol,1533.0,2.0,1.0,0.5
12.0,1.0,BELOW,cigarette,1533.0,2.0,1.0,0.5
12.0,1.0,BELOW,neutral,1533.0,2.0,0.0,0.0
13.0,1.0,BELOW,alcohol,1533.0,13.0,3.0,0.230769230769
13.0,1.0,BELOW,cigarette,1533.0,13.0,4.0,0.307692307692
13.0,1.0,BELOW,neutral,1533.0,13.0,6.0,0.461538461538
14.0,1.0,BELOW,alcohol,1533.0,9.0,6.0,0.666666666667
14.0,1.0,BELOW,cigarette,1533.0,9.0,2.0,0.222222222222
14.0,1.0,BELOW,neutral,1533.0,9.0,1.0,0.111111111111
15.0,1.0,BELOW,alcohol,1533.0,0.0,0.0,
15.0,1.0,BELOW,cigarette,1533.0,0.0,0.0,
15.0,1.0,BELOW,neutral,1533.0,0.0,0.0,
16.0,1.0,BELOW,alcohol,1533.0,0.0,0.0,
16.0,1.0,BELOW,cigarette,1533.0,0.0,0.0,
16.0,1.0,BELOW,neutral,1533.0,0.0,0.0,
17.0,1.0,BELOW,alcohol,1533.0,0.0,0.0,
17.0,1.0,BELOW,cigarette,1533.0,0.0,0.0,
17.0,1.0,BELOW,neutral,1533.0,0.0,0.0,
18.0,1.0,BELOW,alcohol,1533.0,3.0,1.0,0.333333333333
18.0,1.0,BELOW,cigarette,1533.0,3.0,2.0,0.666666666667
18.0,1.0,BELOW,neutral,1533.0,3.0,0.0,0.0
19.0,1.0,BELOW,alcohol,1533.0,2.0,2.0,1.0
19.0,1.0,BELOW,cigarette,1533.0,2.0,0.0,0.0
19.0,1.0,BELOW,neutral,1533.0,2.0,0.0,0.0
20.0,1.0,BELOW,alcohol,1533.0,0.0,0.0,
20.0,1.0,BELOW,cigarette,1533.0,0.0,0.0,
20.0,1.0,BELOW,neutral,1533.0,0.0,0.0,
21.0,1.0,BELOW,alcohol,1533.0,0.0,0.0,
21.0,1.0,BELOW,cigarette,1533.0,0.0,0.0,
21.0,1.0,BELOW,neutral,1533.0,0.0,0.0,
22.0,1.0,BELOW,alcohol,1533.0,2.0,0.0,0.0
22.0,1.0,BELOW,cigarette,1533.0,2.0,2.0,1.0
22.0,1.0,BELOW,neutral,1533.0,2.0,0.0,0.0
23.0,1.0,BELOW,alcohol,1533.0,0.0,0.0,
23.0,1.0,BELOW,cigarette,1533.0,0.0,0.0,
23.0,1.0,BELOW,neutral,1533.0,0.0,0.0,
24.0,1.0,BELOW,alcohol,1533.0,0.0,0.0,
24.0,1.0,BELOW,cigarette,1533.0,0.0,0.0,
24.0,1.0,BELOW,neutral,1533.0,0.0,0.0,
25.0,1.0,BELOW,alcohol,1533.0,14.0,7.0,0.5
25.0,1.0,BELOW,cigarette,1533.0,14.0,5.0,0.357142857143
25.0,1.0,BELOW,neutral,1533.0,14.0,2.0,0.142857142857
26.0,1.0,BELOW,alcohol,1533.0,14.0,2.0,0.142857142857
26.0,1.0,BELOW,cigarette,1533.0,14.0,8.0,0.571428571429
26.0,1.0,BELOW,neutral,1533.0,14.0,4.0,0.285714285714
27.0,1.0,BELOW,alcohol,1533.0,19.0,2.0,0.105263157895
27.0,1.0,BELOW,cigarette,1533.0,19.0,9.0,0.473684210526
27.0,1.0,BELOW,neutral,1533.0,19.0,8.0,0.421052631579
28.0,1.0,BELOW,alcohol,1533.0,0.0,0.0,
28.0,1.0,BELOW,cigarette,1533.0,0.0,0.0,
28.0,1.0,BELOW,neutral,1533.0,0.0,0.0,
29.0,1.0,BELOW,alcohol,1533.0,0.0,0.0,
29.0,1.0,BELOW,cigarette,1533.0,0.0,0.0,
29.0,1.0,BELOW,neutral,1533.0,0.0,0.0,
1.0,1.0,ABOVE,alcohol,1533.0,0.0,0.0,
1.0,1.0,ABOVE,cigarette,1533.0,0.0,0.0,
1.0,1.0,ABOVE,neutral,1533.0,0.0,0.0,
2.0,1.0,ABOVE,alcohol,1533.0,1.0,1.0,1.0
2.0,1.0,ABOVE,cigarette,1533.0,1.0,0.0,0.0
2.0,1.0,ABOVE,neutral,1533.0,1.0,0.0,0.0
3.0,1.0,ABOVE,alcohol,1533.0,0.0,0.0,
3.0,1.0,ABOVE,cigarette,1533.0,0.0,0.0,
3.0,1.0,ABOVE,neutral,1533.0,0.0,0.0,
4.0,1.0,ABOVE,alcohol,1533.0,0.0,0.0,
4.0,1.0,ABOVE,cigarette,1533.0,0.0,0.0,
4.0,1.0,ABOVE,neutral,1533.0,0.0,0.0,
5.0,1.0,ABOVE,alcohol,1533.0,0.0,0.0,
5.0,1.0,ABOVE,cigarette,1533.0,0.0,0.0,
5.0,1.0,ABOVE,neutral,1533.0,0.0,0.0,
6.0,1.0,ABOVE,alcohol,1533.0,18.0,2.0,0.111111111111
6.0,1.0,ABOVE,cigarette,1533.0,18.0,14.0,0.777777777778
6.0,1.0,ABOVE,neutral,1533.0,18.0,2.0,0.111111111111
7.0,1.0,ABOVE,alcohol,1533.0,0.0,0.0,
7.0,1.0,ABOVE,cigarette,1533.0,0.0,0.0,
7.0,1.0,ABOVE,neutral,1533.0,0.0,0.0,
8.0,1.0,ABOVE,alcohol,1533.0,0.0,0.0,
8.0,1.0,ABOVE,cigarette,1533.0,0.0,0.0,
8.0,1.0,ABOVE,neutral,1533.0,0.0,0.0,
9.0,1.0,ABOVE,alcohol,1533.0,0.0,0.0,
