sub_id,trial_type,median_ADS,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,3.0,BELOW,alcohol,855.0,21.0,13.0,0.619047619048
1.0,3.0,BELOW,cigarette,855.0,21.0,4.0,0.190476190476
1.0,3.0,BELOW,neutral,855.0,21.0,4.0,0.190476190476
2.0,3.0,BELOW,alcohol,855.0,54.0,29.0,0.537037037037
2.0,3.0,BELOW,cigarette,855.0,54.0,11.0,0.203703703704
2.0,3.0,BELOW,neutral,855.0,54.0,14.0,0.259259259259
3.0,3.0,BELOW,alcohol,855.0,77.0,38.0,0.493506493506
3.0,3.0,BELOW,cigarette,855.0,77.0,15.0,0.194805194805
3.0,3.0,BELOW,neutral,855.0,77.0,24.0,0.311688311688
4.0,3.0,BELOW,alcohol,855.0,4.0,4.0,1.0
4.0,3.0,BELOW,cigarette,855.0,4.0,0.0,0.0
4.0,3.0,BELOW,neutral,855.0,4.0,0.0,0.0
5.0,3.0,BELOW,alcohol,855.0,78.0,37.0,0.474358974359
5.0,3.0,BELOW,cigarette,855.0,78.0,25.0,0.320512820513
5.0,3.0,BELOW,neutral,855.0,78.0,16.0,0.205128205128
6.0,3.0,BELOW,alcohol,855.0,82.0,44.0,0.536585365854
6.0,3.0,BELOW,cigarette,855.0,82.0,25.0,0.30487804878
6.0,3.0,BELOW,neutral,855.0,82.0,13.0,0.158536585366
7.0,3.0,BELOW,alcohol,855.0,20.0,7.0,0.35
7.0,3.0,BELOW,cigarette,855.0,20.0,8.0,0.4
7.0,3.0,BELOW,neutral,855.0,20.0,5.0,0.25
8.0,3.0,BELOW,alcohol,855.0,37.0,20.0,0.540540540541
8.0,3.0,BELOW,cigarette,855.0,37.0,8.0,0.216216216216
8.0,3.0,BELOW,neutral,855.0,37.0,9.0,0.243243243243
9.0,3.0,BELOW,alcohol,855.0,41.0,24.0,0.585365853659
9.0,3.0,BELOW,cigarette,855.0,41.0,7.0,0.170731707317
9.0,3.0,BELOW,neutral,855.0,41.0,10.0,0.243902439024
10.0,3.0,BELOW,alcohol,855.0,42.0,26.0,0.619047619048
10.0,3.0,BELOW,cigarette,855.0,42.0,6.0,0.142857142857
10.0,3.0,BELOW,neutral,855.0,42.0,10.0,0.238095238095
