sub_id,avg_time_looking_at_pref,avg_percentage_looking_at_pref,avg_time_looking_at_alc,avg_percentage_looking_at_alc,avg_time_looking_at_cig,avg_percentage_looking_at_cig,avg_time_looking_at_neu,avg_percentage_looking_at_neu,avg_response_time
cret01,143.371428571,0.103852538897,15.7571428571,0.0115467757984,26.3571428571,0.0195598410988,143.371428571,0.103852538897,917.696852414
cret03,273.113636364,0.266542364738,222.954545455,0.194310479331,130.454545455,0.126487750974,112.886363636,0.103885910965,1078.91037846
cret04,404.394736842,0.509767581457,412.539473684,0.513515191212,153.368421053,0.173783327068,70.6710526316,0.0781356314805,817.73244028
cret05,362.285714286,0.430277209305,368.414285714,0.42358735729,200.128571429,0.225787145347,131.242857143,0.12047548439,884.047099098
cret06,258.088607595,0.483578097391,257.35443038,0.482986674325,44.746835443,0.0776396013349,13.2911392405,0.0215424885148,528.512925892
cret07,538.350877193,0.46780139732,453.50877193,0.375704654878,369.350877193,0.292963998022,278.350877193,0.246831137736,1197.16292161
cret08,623.228571429,0.484956306714,338.214285714,0.202964451003,620.342857143,0.483832148442,179.657142857,0.10807408031,1366.21623049
cret09,367.525423729,0.468195067926,48.1186440678,0.0555089457593,367.525423729,0.468195067926,64.7457627119,0.0773899409017,770.741103917
cret10,458.880597015,0.619236917349,221.776119403,0.294366006138,248.955223881,0.327635114018,170.776119403,0.200780783986,762.985738746
cret11,259.369863014,0.312911579119,189.753424658,0.222914906676,161.410958904,0.184647170334,70.698630137,0.0721576494619,808.039436364
