sub_id,trial_type,median_FTND,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,4.0,BELOW,alcohol,579.0,34.0,14.0,0.411764705882
1.0,4.0,BELOW,cigarette,579.0,34.0,11.0,0.323529411765
1.0,4.0,BELOW,neutral,579.0,34.0,9.0,0.264705882353
2.0,4.0,BELOW,alcohol,579.0,112.0,88.0,0.785714285714
2.0,4.0,BELOW,cigarette,579.0,112.0,17.0,0.151785714286
2.0,4.0,BELOW,neutral,579.0,112.0,7.0,0.0625
3.0,4.0,BELOW,alcohol,579.0,133.0,78.0,0.586466165414
3.0,4.0,BELOW,cigarette,579.0,133.0,30.0,0.225563909774
3.0,4.0,BELOW,neutral,579.0,133.0,25.0,0.187969924812
4.0,4.0,BELOW,alcohol,579.0,16.0,16.0,1.0
4.0,4.0,BELOW,cigarette,579.0,16.0,0.0,0.0
4.0,4.0,BELOW,neutral,579.0,16.0,0.0,0.0
5.0,4.0,BELOW,alcohol,579.0,100.0,49.0,0.49
5.0,4.0,BELOW,cigarette,579.0,100.0,28.0,0.28
5.0,4.0,BELOW,neutral,579.0,100.0,23.0,0.23
6.0,4.0,BELOW,alcohol,579.0,108.0,36.0,0.333333333333
6.0,4.0,BELOW,cigarette,579.0,108.0,62.0,0.574074074074
6.0,4.0,BELOW,neutral,579.0,108.0,10.0,0.0925925925926
7.0,4.0,BELOW,alcohol,579.0,66.0,8.0,0.121212121212
7.0,4.0,BELOW,cigarette,579.0,66.0,51.0,0.772727272727
7.0,4.0,BELOW,neutral,579.0,66.0,7.0,0.106060606061
8.0,4.0,BELOW,alcohol,579.0,80.0,34.0,0.425
8.0,4.0,BELOW,cigarette,579.0,80.0,25.0,0.3125
8.0,4.0,BELOW,neutral,579.0,80.0,21.0,0.2625
9.0,4.0,BELOW,alcohol,579.0,80.0,49.0,0.6125
9.0,4.0,BELOW,cigarette,579.0,80.0,16.0,0.2
9.0,4.0,BELOW,neutral,579.0,80.0,15.0,0.1875
10.0,4.0,BELOW,alcohol,579.0,105.0,54.0,0.514285714286
10.0,4.0,BELOW,cigarette,579.0,105.0,21.0,0.2
10.0,4.0,BELOW,neutral,579.0,105.0,30.0,0.285714285714
11.0,4.0,BELOW,alcohol,579.0,128.0,49.0,0.3828125
11.0,4.0,BELOW,cigarette,579.0,128.0,54.0,0.421875
11.0,4.0,BELOW,neutral,579.0,128.0,25.0,0.1953125
12.0,4.0,BELOW,alcohol,579.0,34.0,22.0,0.647058823529
12.0,4.0,BELOW,cigarette,579.0,34.0,5.0,0.147058823529
