sub_id,trial_type,median_FTND,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,4.0,BELOW,alcohol,655.0,34.0,15.0,0.441176470588
1.0,4.0,BELOW,cigarette,655.0,34.0,11.0,0.323529411765
1.0,4.0,BELOW,neutral,655.0,34.0,8.0,0.235294117647
2.0,4.0,BELOW,alcohol,655.0,96.0,72.0,0.75
2.0,4.0,BELOW,cigarette,655.0,96.0,17.0,0.177083333333
2.0,4.0,BELOW,neutral,655.0,96.0,7.0,0.0729166666667
3.0,4.0,BELOW,alcohol,655.0,113.0,62.0,0.548672566372
3.0,4.0,BELOW,cigarette,655.0,113.0,25.0,0.221238938053
3.0,4.0,BELOW,neutral,655.0,113.0,26.0,0.230088495575
4.0,4.0,BELOW,alcohol,655.0,9.0,9.0,1.0
4.0,4.0,BELOW,cigarette,655.0,9.0,0.0,0.0
4.0,4.0,BELOW,neutral,655.0,9.0,0.0,0.0
5.0,4.0,BELOW,alcohol,655.0,98.0,53.0,0.540816326531
5.0,4.0,BELOW,cigarette,655.0,98.0,25.0,0.255102040816
5.0,4.0,BELOW,neutral,655.0,98.0,20.0,0.204081632653
6.0,4.0,BELOW,alcohol,655.0,102.0,42.0,0.411764705882
6.0,4.0,BELOW,cigarette,655.0,102.0,47.0,0.460784313725
6.0,4.0,BELOW,neutral,655.0,102.0,13.0,0.127450980392
7.0,4.0,BELOW,alcohol,655.0,56.0,10.0,0.178571428571
7.0,4.0,BELOW,cigarette,655.0,56.0,39.0,0.696428571429
7.0,4.0,BELOW,neutral,655.0,56.0,7.0,0.125
8.0,4.0,BELOW,alcohol,655.0,65.0,32.0,0.492307692308
8.0,4.0,BELOW,cigarette,655.0,65.0,19.0,0.292307692308
8.0,4.0,BELOW,neutral,655.0,65.0,14.0,0.215384615385
9.0,4.0,BELOW,alcohol,655.0,78.0,45.0,0.576923076923
9.0,4.0,BELOW,cigarette,655.0,78.0,18.0,0.230769230769
9.0,4.0,BELOW,neutral,655.0,78.0,15.0,0.192307692308
10.0,4.0,BELOW,alcohol,655.0,83.0,53.0,0.638554216867
10.0,4.0,BELOW,cigarette,655.0,83.0,12.0,0.144578313253
10.0,4.0,BELOW,neutral,655.0,83.0,18.0,0.21686746988
11.0,4.0,BELOW,alcohol,655.0,123.0,49.0,0.39837398374
11.0,4.0,BELOW,cigarette,655.0,123.0,52.0,0.422764227642
11.0,4.0,BELOW,neutral,655.0,123.0,22.0,0.178861788618
12.0,4.0,BELOW,alcohol,655.0,33.0,22.0,0.666666666667
12.0,4.0,BELOW,cigarette,655.0,33.0,4.0,0.121212121212
12.0,4.0,BELOW,neutral,655.0,33.0,7.0,0.212121212121
13.0,4.0,BELOW,alcohol,655.0,124.0,38.0,0.306451612903
13.0,4.0,BELOW,cigarette,655.0,124.0,33.0,0.266129032258
13.0,4.0,BELOW,neutral,655.0,124.0,53.0,0.427419354839
14.0,4.0,BELOW,alcohol,655.0,146.0,80.0,0.547945205479
14.0,4.0,BELOW,cigarette,655.0,146.0,47.0,0.321917808219
14.0,4.0,BELOW,neutral,655.0,146.0,19.0,0.130136986301
15.0,4.0,BELOW,alcohol,655.0,32.0,6.0,0.1875
15.0,4.0,BELOW,cigarette,655.0,32.0,17.0,0.53125
15.0,4.0,BELOW,neutral,655.0,32.0,9.0,0.28125
16.0,4.0,BELOW,alcohol,655.0,36.0,12.0,0.333333333333
16.0,4.0,BELOW,cigarette,655.0,36.0,18.0,0.5
16.0,4.0,BELOW,neutral,655.0,36.0,6.0,0.166666666667
17.0,4.0,BELOW,alcohol,655.0,59.0,19.0,0.322033898305
17.0,4.0,BELOW,cigarette,655.0,59.0,31.0,0.525423728814
17.0,4.0,BELOW,neutral,655.0,59.0,9.0,0.152542372881
18.0,4.0,BELOW,alcohol,655.0,64.0,39.0,0.609375
18.0,4.0,BELOW,cigarette,655.0,64.0,17.0,0.265625
18.0,4.0,BELOW,neutral,655.0,64.0,8.0,0.125
19.0,4.0,BELOW,alcohol,655.0,119.0,58.0,0.487394957983
19.0,4.0,BELOW,cigarette,655.0,119.0,48.0,0.403361344538
19.0,4.0,BELOW,neutral,655.0,119.0,13.0,0.109243697479
20.0,4.0,BELOW,alcohol,655.0,105.0,47.0,0.447619047619
20.0,4.0,BELOW,cigarette,655.0,105.0,26.0,0.247619047619
20.0,4.0,BELOW,neutral,655.0,105.0,32.0,0.304761904762
21.0,4.0,BELOW,alcohol,655.0,44.0,14.0,0.318181818182
21.0,4.0,BELOW,cigarette,655.0,44.0,19.0,0.431818181818
21.0,4.0,BELOW,neutral,655.0,44.0,11.0,0.25
22.0,4.0,BELOW,alcohol,655.0,70.0,39.0,0.557142857143
22.0,4.0,BELOW,cigarette,655.0,70.0,25.0,0.357142857143
22.0,4.0,BELOW,neutral,655.0,70.0,6.0,0.0857142857143
23.0,4.0,BELOW,alcohol,655.0,37.0,22.0,0.594594594595
23.0,4.0,BELOW,cigarette,655.0,37.0,8.0,0.216216216216
23.0,4.0,BELOW,neutral,655.0,37.0,7.0,0.189189189189
24.0,4.0,BELOW,alcohol,655.0,90.0,41.0,0.455555555556
24.0,4.0,BELOW,cigarette,655.0,90.0,28.0,0.311111111111
24.0,4.0,BELOW,neutral,655.0,90.0,21.0,0.233333333333
25.0,4.0,BELOW,alcohol,655.0,105.0,46.0,0.438095238095
25.0,4.0,BELOW,cigarette,655.0,105.0,27.0,0.257142857143
25.0,4.0,BELOW,neutral,655.0,105.0,32.0,0.304761904762
26.0,4.0,BELOW,alcohol,655.0,73.0,9.0,0.123287671233
26.0,4.0,BELOW,cigarette,655.0,73.0,10.0,0.13698630137
26.0,4.0,BELOW,neutral,655.0,73.0,54.0,0.739726027397
27.0,4.0,BELOW,alcohol,655.0,120.0,46.0,0.383333333333
27.0,4.0,BELOW,cigarette,655.0,120.0,51.0,0.425
27.0,4.0,BELOW,neutral,655.0,120.0,23.0,0.191666666667
28.0,4.0,BELOW,alcohol,655.0,88.0,32.0,0.363636363636
28.0,4.0,BELOW,cigarette,655.0,88.0,32.0,0.363636363636
28.0,4.0,BELOW,neutral,655.0,88.0,24.0,0.272727272727
29.0,4.0,BELOW,alcohol,655.0,136.0,47.0,0.345588235294
29.0,4.0,BELOW,cigarette,655.0,136.0,51.0,0.375
29.0,4.0,BELOW,neutral,655.0,136.0,38.0,0.279411764706
1.0,4.0,ABOVE,alcohol,655.0,0.0,0.0,
1.0,4.0,ABOVE,cigarette,655.0,0.0,0.0,
1.0,4.0,ABOVE,neutral,655.0,0.0,0.0,
2.0,4.0,ABOVE,alcohol,655.0,9.0,6.0,0.666666666667
2.0,4.0,ABOVE,cigarette,655.0,9.0,2.0,0.222222222222
2.0,4.0,ABOVE,neutral,655.0,9.0,1.0,0.111111111111
3.0,4.0,ABOVE,alcohol,655.0,0.0,0.0,
3.0,4.0,ABOVE,cigarette,655.0,0.0,0.0,
3.0,4.0,ABOVE,neutral,655.0,0.0,0.0,
4.0,4.0,ABOVE,alcohol,655.0,0.0,0.0,
4.0,4.0,ABOVE,cigarette,655.0,0.0,0.0,
4.0,4.0,ABOVE,neutral,655.0,0.0,0.0,
5.0,4.0,ABOVE,alcohol,655.0,0.0,0.0,
5.0,4.0,ABOVE,cigarette,655.0,0.0,0.0,
5.0,4.0,ABOVE,neutral,655.0,0.0,0.0,
6.0,4.0,ABOVE,alcohol,655.0,11.0,6.0,0.545454545455
6.0,4.0,ABOVE,cigarette,655.0,11.0,4.0,0.363636363636
6.0,4.0,ABOVE,neutral,655.0,11.0,1.0,0.0909090909091
7.0,4.0,ABOVE,alcohol,655.0,5.0,2.0,0.4
7.0,4.0,ABOVE,cigarette,655.0,5.0,3.0,0.6
7.0,4.0,ABOVE,neutral,655.0,5.0,0.0,0.0
8.0,4.0,ABOVE,alcohol,655.0,4.0,4.0,1.0
8.0,4.0,ABOVE,cigarette,655.0,4.0,0.0,0.0
8.0,4.0,ABOVE,neutral,655.0,4.0,0.0,0.0
9.0,4.0,ABOVE,alcohol,655.0,0.0,0.0,
9.0,4.0,ABOVE,cigarette,655.0,0.0,0.0,
9.0,4.0,ABOVE,neutral,655.0,0.0,0.0,
10.0,4.0,ABOVE,alcohol,655.0,12.0,5.0,0.416666666667
10.0,4.0,ABOVE,cigarette,655.0,12.0,3.0,0.25
10.0,4.0,ABOVE,neutral,655.0,12.0,4.0,0.333333333333
11.0,4.0,ABOVE,alcohol,655.0,17.0,7.0,0.411764705882
11.0,4.0,ABOVE,cigarette,655.0,17.0,9.0,0.529411764706
11.0,4.0,ABOVE,neutral,655.0,17.0,1.0,0.0588235294118
12.0,4.0,ABOVE,alcohol,655.0,0.0,0.0,
12.0,4.0,ABOVE,cigarette,655.0,0.0,0.0,
12.0,4.0,ABOVE,neutral,655.0,0.0,0.0,
13.0,4.0,ABOVE,alcohol,655.0,0.0,0.0,
13.0,4.0,ABOVE,cigarette,655.0,0.0,0.0,
13.0,4.0,ABOVE,neutral,655.0,0.0,0.0,
14.0,4.0,ABOVE,alcohol,655.0,0.0,0.0,
14.0,4.0,ABOVE,cigarette,655.0,0.0,0.0,
14.0,4.0,ABOVE,neutral,655.0,0.0,0.0,
15.0,4.0,ABOVE,alcohol,655.0,0.0,0.0,
15.0,4.0,ABOVE,cigarette,655.0,0.0,0.0,
15.0,4.0,ABOVE,neutral,655.0,0.0,0.0,
16.0,4.0,ABOVE,alcohol,655.0,2.0,1.0,0.5
16.0,4.0,ABOVE,cigarette,655.0,2.0,1.0,0.5
16.0,4.0,ABOVE,neutral,655.0,2.0,0.0,0.0
17.0,4.0,ABOVE,alcohol,655.0,15.0,4.0,0.266666666667
17.0,4.0,ABOVE,cigarette,655.0,15.0,5.0,0.333333333333
17.0,4.0,ABOVE,neutral,655.0,15.0,6.0,0.4
18.0,4.0,ABOVE,alcohol,655.0,0.0,0.0,
18.0,4.0,ABOVE,cigarette,655.0,0.0,0.0,
18.0,4.0,ABOVE,neutral,655.0,0.0,0.0,
19.0,4.0,ABOVE,alcohol,655.0,0.0,0.0,
19.0,4.0,ABOVE,cigarette,655.0,0.0,0.0,
19.0,4.0,ABOVE,neutral,655.0,0.0,0.0,
20.0,4.0,ABOVE,alcohol,655.0,13.0,7.0,0.538461538462
20.0,4.0,ABOVE,cigarette,655.0,13.0,3.0,0.230769230769
20.0,4.0,ABOVE,neutral,655.0,13.0,3.0,0.230769230769
21.0,4.0,ABOVE,alcohol,655.0,3.0,2.0,0.666666666667
21.0,4.0,ABOVE,cigarette,655.0,3.0,1.0,0.333333333333
21.0,4.0,ABOVE,neutral,655.0,3.0,0.0,0.0
