sub_id,trial_type,median_ADS,looked_at_item,timepoint,nr_trials,nr_trials_used_for_likelihood,mean_fix_likelihood
1.0,2.0,BELOW,alcohol,282.0,18.0,10.0,0.555555555556
1.0,2.0,BELOW,cigarette,282.0,18.0,5.0,0.277777777778
1.0,2.0,BELOW,neutral,282.0,18.0,3.0,0.166666666667
2.0,2.0,BELOW,alcohol,282.0,112.0,53.0,0.473214285714
2.0,2.0,BELOW,cigarette,282.0,112.0,38.0,0.339285714286
2.0,2.0,BELOW,neutral,282.0,112.0,21.0,0.1875
3.0,2.0,BELOW,alcohol,282.0,130.0,51.0,0.392307692308
3.0,2.0,BELOW,cigarette,282.0,130.0,54.0,0.415384615385
3.0,2.0,BELOW,neutral,282.0,130.0,25.0,0.192307692308
4.0,2.0,BELOW,alcohol,282.0,71.0,50.0,0.704225352113
4.0,2.0,BELOW,cigarette,282.0,71.0,16.0,0.225352112676
4.0,2.0,BELOW,neutral,282.0,71.0,5.0,0.0704225352113
5.0,2.0,BELOW,alcohol,282.0,94.0,37.0,0.393617021277
5.0,2.0,BELOW,cigarette,282.0,94.0,26.0,0.276595744681
5.0,2.0,BELOW,neutral,282.0,94.0,31.0,0.329787234043
6.0,2.0,BELOW,alcohol,282.0,121.0,40.0,0.330578512397
6.0,2.0,BELOW,cigarette,282.0,121.0,59.0,0.487603305785
6.0,2.0,BELOW,neutral,282.0,121.0,22.0,0.181818181818
7.0,2.0,BELOW,alcohol,282.0,57.0,1.0,0.0175438596491
7.0,2.0,BELOW,cigarette,282.0,57.0,54.0,0.947368421053
7.0,2.0,BELOW,neutral,282.0,57.0,2.0,0.0350877192982
8.0,2.0,BELOW,alcohol,282.0,100.0,27.0,0.27
8.0,2.0,BELOW,cigarette,282.0,100.0,48.0,0.48
8.0,2.0,BELOW,neutral,282.0,100.0,25.0,0.25
9.0,2.0,BELOW,alcohol,282.0,64.0,18.0,0.28125
9.0,2.0,BELOW,cigarette,282.0,64.0,31.0,0.484375
9.0,2.0,BELOW,neutral,282.0,64.0,15.0,0.234375
10.0,2.0,BELOW,alcohol,282.0,95.0,19.0,0.2
10.0,2.0,BELOW,cigarette,282.0,95.0,69.0,0.726315789474
10.0,2.0,BELOW,neutral,282.0,95.0,7.0,0.0736842105263
11.0,2.0,BELOW,alcohol,282.0,126.0,37.0,0.293650793651
11.0,2.0,BELOW,cigarette,282.0,126.0,50.0,0.396825396825
11.0,2.0,BELOW,neutral,282.0,126.0,39.0,0.309523809524
12.0,2.0,BELOW,alcohol,282.0,35.0,10.0,0.285714285714
12.0,2.0,BELOW,cigarette,282.0,35.0,17.0,0.485714285714
12.0,2.0,BELOW,neutral,282.0,35.0,8.0,0.228571428571
13.0,2.0,BELOW,alcohol,282.0,128.0,32.0,0.25
13.0,2.0,BELOW,cigarette,282.0,128.0,39.0,0.3046875
13.0,2.0,BELOW,neutral,282.0,128.0,57.0,0.4453125
14.0,2.0,BELOW,alcohol,282.0,134.0,45.0,0.335820895522
14.0,2.0,BELOW,cigarette,282.0,134.0,66.0,0.492537313433
14.0,2.0,BELOW,neutral,282.0,134.0,23.0,0.171641791045
15.0,2.0,BELOW,alcohol,282.0,40.0,13.0,0.325
15.0,2.0,BELOW,cigarette,282.0,40.0,16.0,0.4
15.0,2.0,BELOW,neutral,282.0,40.0,11.0,0.275
16.0,2.0,BELOW,alcohol,282.0,39.0,14.0,0.358974358974
16.0,2.0,BELOW,cigarette,282.0,39.0,19.0,0.487179487179
16.0,2.0,BELOW,neutral,282.0,39.0,6.0,0.153846153846
17.0,2.0,BELOW,alcohol,282.0,32.0,10.0,0.3125
17.0,2.0,BELOW,cigarette,282.0,32.0,17.0,0.53125
17.0,2.0,BELOW,neutral,282.0,32.0,5.0,0.15625
18.0,2.0,BELOW,alcohol,282.0,59.0,20.0,0.338983050847
18.0,2.0,BELOW,cigarette,282.0,59.0,28.0,0.474576271186
18.0,2.0,BELOW,neutral,282.0,59.0,11.0,0.186440677966
19.0,2.0,BELOW,alcohol,282.0,87.0,24.0,0.275862068966
19.0,2.0,BELOW,cigarette,282.0,87.0,33.0,0.379310344828
19.0,2.0,BELOW,neutral,282.0,87.0,30.0,0.344827586207
20.0,2.0,BELOW,alcohol,282.0,92.0,26.0,0.282608695652
20.0,2.0,BELOW,cigarette,282.0,92.0,45.0,0.489130434783
20.0,2.0,BELOW,neutral,282.0,92.0,21.0,0.228260869565
21.0,2.0,BELOW,alcohol,282.0,45.0,17.0,0.377777777778
21.0,2.0,BELOW,cigarette,282.0,45.0,17.0,0.377777777778
21.0,2.0,BELOW,neutral,282.0,45.0,11.0,0.244444444444
22.0,2.0,BELOW,alcohol,282.0,80.0,35.0,0.4375
22.0,2.0,BELOW,cigarette,282.0,80.0,32.0,0.4
22.0,2.0,BELOW,neutral,282.0,80.0,13.0,0.1625
23.0,2.0,BELOW,alcohol,282.0,79.0,25.0,0.316455696203
23.0,2.0,BELOW,cigarette,282.0,79.0,37.0,0.46835443038
23.0,2.0,BELOW,neutral,282.0,79.0,17.0,0.215189873418
24.0,2.0,BELOW,alcohol,282.0,80.0,36.0,0.45
24.0,2.0,BELOW,cigarette,282.0,80.0,25.0,0.3125
24.0,2.0,BELOW,neutral,282.0,80.0,19.0,0.2375
25.0,2.0,BELOW,alcohol,282.0,115.0,47.0,0.408695652174
25.0,2.0,BELOW,cigarette,282.0,115.0,49.0,0.426086956522
25.0,2.0,BELOW,neutral,282.0,115.0,19.0,0.165217391304
26.0,2.0,BELOW,alcohol,282.0,81.0,10.0,0.123456790123
